x
FURIN
RBM26-AS1
LINC01068
FES
SCARNA15
EFTUD1P1
CSPG4P11
GOLGA2P7
SNHG17
DNM1P51
UBE2Q2P1
SCAND2P
CSPG4P12
GOLGA6L3
WHSC1L1
LETM2
MAP3K11
PCNXL3
TMEM161B-AS1
NACA
SIPA1
HIST2H2BF
RELA
CUL3
HIST2H3D
HIST2H3A
HIST2H2BE
HIST2H2AC
HIST2H2AB
BOLA1
SV2A
KAT5
GFOD2
FXR1
SF3B4
INPP4B
PRIM1
RNASEH2C
AP5B1
OVOL1
CFL1
SNX32
MTMR11
MUS81
MAD1L1
EFEMP2
HSD17B6
VPS45
FOSL1
SZT2
C11orf68
DRAP1
SART1
SDAD1P1
PLEKHO1
EIF1AD
BANF1
CST6
GAL3ST3
SF3B2
ANP32E
HYI
TSNARE1
CNTN4
PACS1
EMX1
PTPRF
DNAJC19
THOC7
ANKRD44
KRT8P26
KDM4A
KIF22
ATXN7
PRPF3
SF3B1
MAZ
PRRT2
MVP
LRRN3
TARS2
CDIPT
DPEP2
STAG1
AKAP6
STAT6
DUS2
SEZ6L2
ECM1
HSPD1
DGKI
NFATC3
ASPHD1
KCTD13
SLC35G2
NEK1
TMEM219
TAOK2
CLCN3
HIRIP3
INO80E
HSPE1
HORMAD1
CTSS
DOC2A
CTSK
C16orf92
RFTN2
CCDC144B
MARS2
LRP1
ARNT
PLCL1
MAU2
CDIPT-AS1
GATAD2A
TSSK6
GPM6A
NDUFA13
ALMS1
WDR17
ASB5
NXPH4
SHMT2
BNIPL
FTCDNL1
EPN2
TYW5
NDUFA4L2
R3HDM2
KCTD18
ARHGAP9
SERBP1P3
MARS
PLCB2
FOXP1
WBP1L
EFHD1
CALB2
GIGYF2
PEX10
CNNM2
PLCH2
NT5C2
PCGF6
PRDM16
C2orf82
NGEF
SNAP91
ARHGEF16
NEU2
RBM26
NDFIP2
CALHM2
HSPA9
CCDC62
IRF3
HIP1R
CACNA1I
CTNNA1
EMB
NISCH
CPT1C
GRAP2
FAM83F
ARL14EP
MPPED2
VPS37B
OS9
ABCB9
OGFOD2
NT5DC2
ARL6IP4
RANGAP1
PITPNM2
MPHOSPH9
POLR3H
CSDC2
DESI1
PROB1
C12orf65
CDK2AP1
MEI1
SBNO1
TRIM35
PTK2B
SNRNP35
RILPL1
GLT8D1
TMED2
WBP2NL
NAGA
FAM109B
CHRNA2
DDX55
CACNA1C
SLC45A1
RERE
EPHX2
CYP2D7P
NFAM1
AKT3
GTF2H3
ZBTB18
SERHL2
RGS6
ESCO2
BAG5
KLC1
ITIH4
TMEM110
CRY2
SFMBT1
APOPT1
PHF21A
SIAE
SPA17
DGKZ
VSIG2
MSANTD2
ZFYVE21
TKT
MDK
CHRM4
AMBRA1
HARBI1
PPP1R13B
ATG13
CCDC15
CHRNA5
ARHGAP1
ZNF408
CACNA1D
F2
TDRD9
CKAP5
PTPRK
C11orf49
CHEK1
PACSIN3
DDB2
ACP2
NR1H3
EIF4EBP1
MADD
DCLK3
RPS17
TRANK1
STAR
RPS17L
LSM1
BAG4
DDHD2
CPEB1
MYBPC3
AP3B2
HNRNPA1P16
BTBD1
NDRG4
CELF1
ADAMTSL3
KBTBD4
UBE2Q2L
GOLGA6L4
SETD6
ZSCAN2
WDR73
RAI1
NMB
SEC11A
ELOVL7
ZNF592
PPP1R16B
SREBF1
SMIM15
SLC39A8
ZSWIM6
TOM1L2
DPH1
LRRC48
SMG6
ATPAF2
GID4
DRG2
SRR
ZEB2
KMT2E
SRPK2
PUS7
PRKD1
SLC9C2
ANKRD45
DARS2
SERPINC1
RC3H1
RABGAP1L
BRINP2
VRK2
FANCL
LINC00606
